country,arrivals,ISO3_code,AveragePopulation,ArrivalsPer1000
SOM,7257,SOM,18701.409681818182,388.04561385847694
SPM,1,SPM,5.652454545454545,176.91429306656804
SRB,2946,SRB,6754.726863636364,436.1390267102584
SSD,972,SSD,11763.44309090909,82.62886915746391
STP,48,STP,233.297,205.74632335606543
SUR,616,SUR,631.9052272727272,974.8297266959266
SVK,14033,SVK,5502.991227272727,2550.067666917712
SVN,5490,SVN,2117.661772727273,2592.4819868328614
SWE,53494,SWE,10578.343409090909,5056.935470068769
SWZ,567,SWZ,1237.239681818182,458.2782207298483
SYC,2595,SYC,129.1638181818182,20090.765637998822
SYR,20529,SYR,24174.686454545452,849.1940542269175
TCA,3,TCA,46.33181818181818,64.75031884626706
TCD,770,TCD,19868.633636363636,38.754552230040794
TGO,262,TGO,9410.587318181819,27.840982835768422
THA,5647418,THA,71701.19590909091,78763.23300325833
TJK,3545,TJK,10492.511227272727,337.8600149395729
TKL,2,TKL,2.4551363636363637,814.6187029048563
TKM,5375,TKM,7430.6255,723.357676954652
TLS,6745,TLS,1392.2163636363637,4844.792933177836
TON,424,TON,104.45622727272726,4059.1165416396693
TTO,1158,TTO,1505.165909090909,769.3504038364844
TUN,18392,TUN,12244.807545454545,1502.0244239630688
TUR,50414,TUR,87386.493,576.9083787353727
TUV,14,TUV,9.742318181818183,1437.0296410691872
TWN,639102,TWN,23279.92309090909,27452.925746544755
TZA,5973,TZA,67602.38386363637,88.35487239693192
UGA,4255,UGA,49340.05468181818,86.23825059456142
UKR,36714,UKR,38540.37472727273,952.6113915550408
URY,2769,URY,3389.022136363636,817.0498416900548
USA,607643,USA,344631.83368181816,1763.1656179533527
UZB,36853,UZB,36018.3045,1023.1742029944803
VAT,34,VAT,0.49768181818181817,68316.74125490914
VCT,75,VCT,101.00818181818181,742.5141077680476
VEN,2871,VEN,28391.63186363636,101.12134497197184
VNM,878361,VNM,100688.92377272727,8723.51165439623
VUT,2970,VUT,324.21422727272727,9160.60971470463
WSM,113,WSM,217.3793181818182,519.8286614621069
YEM,43725,YEM,40012.92518181819,1092.7718931148922
ZAF,45266,ZAF,63610.84872727273,711.6081754242103
ZMB,2169,ZMB,21030.13468181818,103.13771322992197
ZWE,4687,ZWE,16496.19681818182,284.1260959516481
